0x2032;;;;;Vitolig Scheitholzkessel ; VBC550S
0x2033;;;;;Vitolig Pelletkessel ; VBC550P
0x2034;;;;;Ecotronic K÷b ; Ecotronic
0x2035;;;;;Ecotronic 100 K÷b ; Ecotronic_100
0x2043;;;;;Regler Wärmepumpen CU700 ; VBC701
0x2046;;;;;Vitocal-G Vitocal-G ; VBC700_BW_WW
0x2047;;;;;Vitocal-A Vitocal-A ; VBC700_AW
0x2048;;;;;Vitocal-G mit Vitotronic 200 (Typ WO1A) (ab 08/2010) ; V200WO1A
0x2049;;;;;Vitocal 3xx mit Vitotronic 200 (Typ WO1A) (ab 08/2010) ; VBC702_AW
0x204A;;;;;Vitocal 200-S mit Vitotronic 200 (Typ WO1A) (ab 08/2010) ; VBC702_S
0x204B;;;;;Vitocalxxx-G mit Vitotronic 200 (Typ WO1C) (ab 04/2012) ; CU401B_G
0x204C;;;;;Vitocalxxx-A mit Vitotronic 200 (Typ WO1C) (ab 04/2012) ; CU401B_A
0x204D;;;;;Vitocalxxx-S mit Vitotronic 200 (Typ WO1C) (ab 04/2012) ; CU401B_S
0x2053;0x0100;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BEM und Feuerungsautomat LGM29, ab Softwareindex 0 ; GWG_VBEM_00
0x2053;0x0103;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BEM und Feuerungsautomat LGM29, ab Softwareindex 03 ; GWG_VBEM_03
0x2053;0x0121;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BEM und Feuerungsautomat LGM29, ab Softwareindex 21 ; GWG_VBEM_21
0x2053;0x0135;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BEM und Feuerungsautomat LGM29, ab Softwareindex 35 ; GWG_VBEM_35
0x2053;0x0136;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BEM und Feuerungsautomat LGM29, ab Softwareindex 36 ; GWG_VBEM_36
0x2053;0x0200;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES und Feuerungsautomat LGM29, ab Softwareindex 0 ; GWG_VBES_00
0x2053;0x0203;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES und Feuerungsautomat LGM29, ab Softwareindex 03 ; GWG_VBES_03
0x2053;0x0221;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES und Feuerungsautomat LGM29, ab Softwareindex 21 ; GWG_VBES_21
0x2053;0x0235;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES und Feuerungsautomat LGM29, ab Softwareindex 35 ; GWG_VBES_35
0x2053;0x0236;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES und Feuerungsautomat LGM29, ab Softwareindex 36 ; GWG_VBES_36
0x2053;0x0800;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES im Wandmontagesockel WMS und Feuerungsautomat LGM29, ab Softwareindex 0 ; GWG_VWMS_00
0x2053;0x0803;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES im Wandmontagesockel WMS und Feuerungsautomat LGM29,ab Softwareindex 03 ; GWG_VWMS_03
0x2053;0x0821;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES im Wandmontagesockel WMS und Feuerungsautomat LGM29, ab Softwareindex 21 ; GWG_VWMS_21
0x2053;0x0835;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES im Wandmontagesockel WMS und Feuerungsautomat LGM29, ab Softwareindex 35 ; GWG_VWMS_35
0x2053;0x0836;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BES im Wandmontagesockel WMS und Feuerungsautomat LGM29, ab Softwareindex 36 ; GWG_VWMS_36
0x2053;0x1000;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BT2 und Feuerungsautomat LGM29, ab Softwareindex 0 Konstantregelung ; GWG_VBT2_00
0x2053;0x1003;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BT2 und Feuerungsautomat LGM29, ab Softwareindex 03 Konstantregelung ; GWG_VBT2_03
0x2053;0x1021;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BT2 und Feuerungsautomat LGM29, ab Softwareindex 21 Konstantregelung ; GWG_VBT2_21
0x2053;0x1035;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BT2 und Feuerungsautomat LGM29, ab Softwareindex 35 Konstantregelung ; GWG_VBT2_35
0x2053;0x1036;;;;Gaswandgerät mit VR20 Regelung, Bedienteil BT2 und Feuerungsautomat LGM29, ab Softwareindex 36 Konstantregelung ; GWG_VBT2_36
0x2054;0x00FF;;;;Gaswandgeraet mit Bedienteil BT2 und Feuerungsautomat LGM29, alle Software-Indizes ; GWG_BT2
0x208A;;;;; ; Vitocom300
0x208A;0x010A;0x010F;;;Vitocom 300 FA3, FI1, FE1 mit einem 3er Betriebssystem und mit einer Anwendung ab Version 3.00 ; Vitocom300_10
0x208A;0x0110;0x012F;;;Vitocom 300 FA5, FI2, GP2 und LAN2 mit Ethernet-Anschluss ; Vitocom300_LAN
0x208C;;;;;Vitocom 200 FA4, GP1 und LAN1 mit Ethernet-Anschluss ; Vitocom200_LAN
0x208D;;;;;Vitocom 100 LAN1 (Heizungsrouter) ; Vitocom100_LAN
0x208E;;;;;Vitocom 200 LAN / GPRS ; Vitocom200_LAN_GP
0x208F;;;;;Vitocom 300 LAN / GPRS / Analog ; Vitocom300_LAN_GP_Analog
0x208X;;;;;LON-EIB-Gateway ZE-Id 208B ; Vitogate200EIB
0x2091;0x0100;0x0105;;;Vitotronic 100 KC2 Digitale Kesselregelung ; V100KC2
0x2091;0x0106;0x010F;;;Vitotronic 100 KC2 Digitale Kesselregelung ; V100KC2_6
0x2092;0x0100;0x0103;;;Vitotronic 150 KB1 Waermebedarfsgefuehrte, digitale Kesselkreisregelung, für 1 Heizkreis ohne Mischer ; V150KB1
0x2092;0x0104;0x0104;;;Vitotronic 150 KB1 Waermebedarfsgefuehrte, digitale Kesselkreisregelung, für 1 Heizkreis ohne Mischer Vitotronic 150 KB1 Softwarestand 4 (mit Anbindung Vitosolic 100/200 über KM-Bus) ; V150KB1_4
